,title,label,emotion,score
0,You Can Smell Hillary’s Fear,FAKE,fear,0.9332622289657593
1,Watch The Exact Moment Paul Ryan Committed Political Suicide At A Trump Rally (VIDEO),FAKE,sadness,0.5515188574790955
2,Kerry to go to Paris in gesture of sympathy,REAL,joy,0.5707700848579407
3,Bernie supporters on Twitter erupt in anger against the DNC: 'We tried to warn you!',FAKE,anger,0.9814165830612183
4,The Battle of New York: Why This Primary Matters,REAL,neutral,0.5700178742408752
5,"Tehran, USA",FAKE,neutral,0.8835921287536621
6,Girl Horrified At What She Watches Boyfriend Do After He Left FaceTime On,FAKE,fear,0.9921441078186035
7,‘Britain’s Schindler’ Dies at 106,REAL,sadness,0.7199028134346008
8,Fact check: Trump and Clinton at the 'commander-in-chief' forum,REAL,neutral,0.7803613543510437
9,Iran reportedly makes new push for uranium concessions in nuclear talks,REAL,neutral,0.531891942024231
10,"With all three Clintons in Iowa, a glimpse at the fire that has eluded Hillary Clinton’s campaign",REAL,fear,0.3471008241176605
11,Donald Trump’s Shockingly Weak Delegate Game Somehow Got Even Worse,REAL,disgust,0.5348897576332092
12,"Strong Solar Storm, Tech Risks Today | S0 News Oct.26.2016 [VIDEO]",FAKE,neutral,0.8374659419059753
13,10 Ways America Is Preparing for World War 3,FAKE,neutral,0.8063019514083862
14,"Trump takes on Cruz, but lightly",REAL,neutral,0.8262015581130981
15,How women lead differently,REAL,neutral,0.926910936832428
16,Shocking! Michele Obama & Hillary Caught Glamorizing Date Rape Promoters,FAKE,disgust,0.8354642987251282
17,Hillary Clinton in HUGE Trouble After America Noticed SICK Thing Hidden in this Picture... * LIBERTY WRITERS NEWS,FAKE,fear,0.7490091919898987
18,What's in that Iran bill that Obama doesn't like?,REAL,neutral,0.6733803153038025
19,The 1 chart that explains everything you need to know about partisanship in America,REAL,neutral,0.9172201156616211
20,The slippery slope to Trump’s proposed ban on Muslims,REAL,fear,0.906348705291748
21,Episode #160 – SUNDAY WIRE: ‘Hail to the Deplorables’ with special guest Randy J,FAKE,joy,0.6386387348175049
22,Hillary Clinton Makes A Bipartisan Appeal on Staten Island,REAL,neutral,0.8117902874946594
23,New Senate majority leader’s main goal for GOP: Don’t be scary,REAL,fear,0.960090160369873
24,‘Inferno’ and the Overpopulation Myth,FAKE,neutral,0.3973747491836548
25,Anti-Trump forces seek last-ditch delegate revolt,REAL,anger,0.5887625217437744
26,Sanders Trounces Clinton in W. Va. -- But Will It Make a Difference?,REAL,neutral,0.4837075471878052
27,Donald Trump Is Changing His Campaign Slogan to Prove He’s Not Racist,REAL,neutral,0.7949506640434265
28,Pure chaos: Donald Trump’s campaign management offers a glimpse into his governing style (spoiler alert: it’s terrible),REAL,disgust,0.6688541173934937
29,"Syrian War Report – November 1, 2016: Syrian Military Deploys Advanced T-90 Battle Tanks to Aleppo",FAKE,neutral,0.6732867956161499
30,GOP insiders: Carly crushed it,REAL,anger,0.6632997989654541
31,Jeffrey Sewell et al. : Metabiology face to face with Artificial Intelligence [VIDEO],FAKE,neutral,0.5146564245223999
32,Why It’s Necessary To Relax Into A Stretch,FAKE,neutral,0.654535174369812
33,"Brexit Encourages UK to Trade With Non-EU States, Including Russia",FAKE,neutral,0.4671483337879181
34,"2016 interview with Socrates: Another day of Life in the Empire! Are we near an endgame, or fools to ever ‘hope for change’? (6 of ?)",FAKE,neutral,0.7546977996826172
35,Mike Pence Drapes Shawl Over Immodest Lady Justice Statue - The Onion - America's Finest News Source,FAKE,neutral,0.4752771854400635
36,First Ever Hindu Woman Elected into Congress,FAKE,neutral,0.31974130868911743
37,Donald Groped Hillary in 2005! Trump and Weiner Sext Each Other!,FAKE,disgust,0.6417202949523926
38,Ex-Assistant FBI Director: Clintons Are a Crime Family,FAKE,fear,0.38577747344970703
39,Hillary Wants Aggressively Interventionist Foreign Policy,FAKE,anger,0.5079989433288574
40,Both parties want to craft populist messages for 2016,REAL,neutral,0.9609347581863403
41,First Take: Wall Street bids goodbye to June hike,REAL,sadness,0.57559734582901
42,Real Disclosure! Secret Alien Base Found In Moon's Tycho Crater,FAKE,surprise,0.4785022735595703
43,Homeless Woman Protects Trump’s Walk of Fame Star From Violent Leftists,FAKE,anger,0.4656227231025696
44,"With 3:20 a.m. tweet storm Saturday, Clinton continues to mock Trump’s Friday ‘meltdown’",REAL,fear,0.6924646496772766
45,220 ‘Significant’ Pipeline Spills Already This Year Exposes Troubling Safety Record,FAKE,fear,0.7088398337364197
46,Obama makes the right call to tough it out in Afghanistan,REAL,neutral,0.9347288608551025
47,Senate race rankings: Dems attack as GOP lays swing-state groundwork,REAL,anger,0.6432487964630127
48,‘He didn’t know the boy didn’t want to be raped’ – court throws out Muslim migrant child sex charge and Germans are in shock,FAKE,surprise,0.8138520121574402
49,Pieczenik “Rogue FBI Agents and Wikileaks are Spearheading a Movement to Stop the Clintons from Stealing the White House” – TruthFeed,FAKE,fear,0.6514464616775513
50,American politics has reached peak polarization,REAL,neutral,0.7045321464538574
51,Anti-Muhammad cartoon contest: Free speech or deliberately provocative? (+video),REAL,anger,0.6102874875068665
52,"3 Effects of Substance Abuse on Individual, Family and Community",FAKE,disgust,0.3613053560256958
53,Tree Shaped Vertical Farms That Grow 24 Acres Of Urban Crops,FAKE,neutral,0.6863754391670227
54,New Comment Features have been Added,FAKE,neutral,0.899542510509491
55,World's newspapers react to 'Hebdo' attack,REAL,fear,0.49056217074394226
56,Ying and Yang (the Gold and Silver Set-Up),FAKE,neutral,0.8392839431762695
57,"Closed primaries, 'warped' democracy?",REAL,neutral,0.4914509057998657
58,Police Turn In Badges Rather Than Incite Violence Against Standing Rock Protestors,FAKE,anger,0.7941297888755798
59,Donald Trump: Hillary Clinton has 'caused tremendous death',REAL,fear,0.7632768750190735
60,Detroit women’s Halloween decorations depict ‘real-life horrors’ … such as shootings police by police,FAKE,fear,0.9127120971679688
61,Biden makes another surprise political stop,REAL,surprise,0.885667622089386
62,"Hillary Clinton's declining favorability numbers, in context",REAL,neutral,0.6860362887382507
63,Comment on Quid Pro Quo? Wikileaks Email Reveals Clinton Campaign Eyeing Paul Ryan’s Relative for Supreme Court by lenore.lee,FAKE,neutral,0.7357625961303711
64,Hillary Clinton: The criminal investigation keeps moving forward,REAL,neutral,0.7443508505821228
65,Rubio’s parting shot at Trump,REAL,anger,0.45924049615859985
66,Loretta Lynch becomes first African-American woman AG.,REAL,neutral,0.6531186699867249
67,Why it's funny Republicans are upset with Facebook: Column,REAL,surprise,0.6395413875579834
68,FBI checking if Orlando shooter's wife knew attack plan but didn't warn police,REAL,fear,0.9295251965522766
69,Is google and YouTube in the Hillary's purse?,FAKE,neutral,0.715187132358551
70,Handicapping the Hispanic vote for 2016 GOPers,REAL,neutral,0.9230810403823853
71,Truth Will Out Radio: The Laconia Incident,FAKE,neutral,0.5543835163116455
72,GOP establishment nightmare? Ted Cruz vs. Donald Trump,REAL,fear,0.929053008556366
73,Bernie Sanders lost poor voters in South Carolina by a big margin — a problem for his political revolution,REAL,sadness,0.4626436233520508
74,Should I Get Botox?,FAKE,sadness,0.4381738007068634
75,Jeb Bush Picks Up Endorsement From Lindsey Graham,REAL,neutral,0.7729063034057617
76,"2016 Republican race enters a new, volatile phase",REAL,fear,0.4685567021369934
77,"‘Hands up, don’t shoot’ was built on a lie",REAL,anger,0.526390790939331
78,Lavrov and Kerry discuss Syrian settlement,FAKE,neutral,0.605320930480957
79,BREAKING : DOJ Says They Will “HELP” Review the 650K Emails – TruthFeed,FAKE,neutral,0.7534009218215942
80,Bernie Sanders' call for ouster of two convention co-chairs rejected,REAL,anger,0.6992936730384827
81,Five Reasons the New York Democratic Primary Felt Competitive,REAL,neutral,0.5227490663528442
82,"To get around Congress, Obama turns to city halls",REAL,neutral,0.8328968286514282
83,Celebrity Deathmatch: Darkmoon Sages Make Their Final Predictions on US Election,FAKE,neutral,0.7664260864257812
84,John Kerry: ISIS responsible for genocide,REAL,disgust,0.34372666478157043
85,Mitt Romney's Re-Invention As Anti-Poverty Warrior,REAL,neutral,0.7593879699707031
86,King: Fill the Supreme Court vacancy,REAL,neutral,0.7299417853355408
87,"Ted Cruz is toast: It’s not just that he won’t be president — his days in the Senate are numbered, too",REAL,neutral,0.7811189293861389
88,Obama’s speech in Selma was an answer to those who question his love for America,REAL,neutral,0.5310946106910706
89,Where Does Bernie Sanders Go From Here?,REAL,neutral,0.8480901122093201
90,Exclusive: GOP campaigns plot revolt against RNC,REAL,fear,0.6232086420059204
91,Revelation Unleashed: Unlocking The Mysteries Of The Bible’s Most Mysterious Book,FAKE,neutral,0.8065823316574097
92,Silent Counter-Coup by 17 Intel Agencies To Stop Crooked Clintons [Video],FAKE,anger,0.5447617769241333
93,"Why Hillary Clinton, not Bernie Sanders, 'won' town hall",REAL,neutral,0.5436465740203857
94,French police hunt two brothers accused of Charlie Hebdo terror attack,REAL,fear,0.9729846119880676
95,"The Mandela Effect was made by one overlooked 33 year old man, an ascended master (video and proof)",FAKE,neutral,0.8012059330940247
96,CNN: One voter can make a difference by voting repeatedly,FAKE,neutral,0.9270738959312439
97,Give Social Security recipients a CEO-style raise,REAL,neutral,0.8561248183250427
98,"Fireworks erupt between Trump and Bush, Rubio and Cruz at GOP debate",REAL,anger,0.8956669569015503
99,"Obama, sounding like his critics, admits no 'complete strategy' for Iraq",REAL,sadness,0.39235571026802063
100,How Ted Cruz Became Ted Cruz,REAL,neutral,0.7504591941833496
101,Newly Approved GM Potatoes Have Potential to Silence Human Genes,FAKE,neutral,0.5042963624000549
102,Accord reached after Sanders sues the DNC over suspended access to critical voter list,REAL,anger,0.5926325917243958
103,Why the latest Patriot Act reform won’t be enough to rein in the NSA,REAL,neutral,0.6236005425453186
104,"FBI expands probe of Clinton emails, launches independent classification review",REAL,fear,0.417092889547348
105,Where is Gary Johnson?,REAL,neutral,0.7286162972450256
106,"The Arcturian Group by Marilyn Raffaele October 23, 2016 [VIDEO]",FAKE,neutral,0.7581003904342651
107,Nuclear weapons question,FAKE,neutral,0.5781041383743286
108,Kevin MacDonald celebrates Trump’s Amazing Victory,FAKE,joy,0.8005023002624512
109,"The amazing AquTru water filter, version 2.0, is now in stock: I've snagged 500 units for Natural News readers at a deep discount",FAKE,neutral,0.547317385673523
110,What happens if Clinton drops out?,REAL,fear,0.6588067412376404
111,Brothers ID'd as suicide bombers in Belgium,REAL,neutral,0.45701301097869873
112,Glorifying Violence,FAKE,joy,0.6937891244888306
113,Russia may run out of patience and respond to USA's rudeness,FAKE,neutral,0.3935750722885132
114,The David Duke Show: Hillary’s Treason and Why Trump & Duke Will Win,FAKE,fear,0.46020397543907166
115,Don't blame all immigrants for San Francisco shooting,REAL,anger,0.6305515766143799
116,Netanyahu: I Won't Allow Israel to Be 'Submerged' by Refugees,REAL,anger,0.4174739122390747
117,APOCALYPSE NOW: Trump Voters Warn Of ‘Revolution’ If Clinton Wins,FAKE,fear,0.9207162261009216
118,"Geo-Engineering Unlikely to Work, Conservation Group Says",FAKE,neutral,0.6972079873085022
119,3 Questions Ahead Of Tonight's Democratic Debate,REAL,neutral,0.6463155746459961
120,Obama's terror strategy is failing: US must heed lessons of 9/11,REAL,fear,0.8672085404396057
121,“Bernie needs to be ground to a pulp.” Leaked Email to John Podesta in February,FAKE,neutral,0.36756691336631775
122,Selma 50 years on: John Lewis's recalls the march,REAL,neutral,0.7239075303077698
123,“We Were Long Overdue A Presidential Assassination Anyway”,FAKE,neutral,0.581488847732544
124,"Flip-flop: Vox warns of serious risk of Election Day violence, and not the good kind either",FAKE,fear,0.9199158549308777
125,Third-party presidential candidates fight for 15% in polls – and a spot in debates,REAL,neutral,0.8676341772079468
126,"Bush, Rubio and Kasich eye one another in the shadow of Trump",REAL,fear,0.7818196415901184
127,Comey Must Explain Why He Advised Obama Not to Publicly Accuse Russia of Hacking Democrats,FAKE,fear,0.5280017256736755
128,"Putin Congratulates Trump, Says Russia Is Ready To Restore Relations With The US",FAKE,neutral,0.6756668090820312
129,Monsieur Malbrough est Mort | New Eastern Outlook,FAKE,neutral,0.8675532341003418
130,Conspiracy theories swirl around the death of Antonin Scalia,REAL,fear,0.6329463124275208
131,"What is one more election thread, ehhh?",FAKE,neutral,0.5579873919487
132,McCain: Trump doesn't understand Syria,REAL,neutral,0.3612997829914093
133,Trump manager says 'undercover voters' will deliver win in US election,REAL,neutral,0.8518171310424805
134,Re: WikiLeaks: ‘How is what Bill Clinton did different from what Bill Cosby did?’ #PodestaEmails20,FAKE,fear,0.8359929919242859
135,"REPORT: Megyn Trashes Trump, Newt… Then Murdoch Announces Replacements Are Available",FAKE,neutral,0.5037848353385925
136,Suspect captured in ‘ambush-style’ killings of two Iowa cops,FAKE,disgust,0.5445530414581299
137,Re: 10 Things That Every American Should Know About Donald Trump’s Plan To Save The U.S. Economy,FAKE,neutral,0.6384089589118958
138,The next president can have a big impact on climate policy — even without Congress,REAL,neutral,0.9220497012138367
139,Look at the SHOCKING Number of Kids Born To Illegals in 2014,FAKE,surprise,0.9202930331230164
140,Mother And Daughter Remind MSNBC Reporter That Trump Has Black Supporters,FAKE,neutral,0.8444348573684692
141,Justice Department Staffers Monitor Polls on Election Day,REAL,neutral,0.8925086259841919
142,Elizabeth Warren Just Blasted The FBI Director For Going After Hillary Instead Of Wall Street Crooks,FAKE,anger,0.534318208694458
143,Poll: 71 percent of Dems think Clinton should keep running even if indicted,REAL,neutral,0.8360518217086792
144,Trumped!,FAKE,anger,0.8067431449890137
145,Is the Iran deal unraveling? Think again. | Institution,REAL,fear,0.45716479420661926
146,Saturn’s Baffling Hexagon — The Raging Storm Four Times the Size of Earth has Changed Its Colors,FAKE,neutral,0.3746480643749237
147,"Cyrus Mistry renames himself Rohit Sharma-Mistry, gets job back",FAKE,neutral,0.6428598165512085
148,The FBI intervenes in the 2016 election,FAKE,fear,0.5137225389480591
149,"Re: If Donald Trump Wins, He Will Be 70 Years, 7 Months And 7 Days Old On His First Full Day In Office",FAKE,neutral,0.6736939549446106
150,Shutdown clash to return in force by December,REAL,anger,0.40274351835250854
151,Classless Obama Refuses Photo-Op of White House Welcome with Trump,FAKE,neutral,0.6477723121643066
152,Comment on Maryland Trump Supporter: They Switched My Vote to Hillary by misterdawg,FAKE,sadness,0.6137131452560425
153,Stuff in the News That No One Is Talking About Because of the Election,FAKE,disgust,0.3553336560726166
154,Blizzard of charges and countercharges melts away as opinions of Trump and Clinton are frozen,REAL,anger,0.4857058823108673
155,Social Media Is Censoring FBI’s Re-Opened Clinton Email Investigation,FAKE,disgust,0.5875935554504395
156,Obama Inches Closer to Veto-Proof Support for Iran Nuclear Deal,REAL,neutral,0.8360836505889893
157,How Clinton plans to stop Sanders' momentum,REAL,neutral,0.7204746603965759
158,Martin O’Malley Praises Senate Democrats for Holding Up Trade Deal,REAL,joy,0.5291963815689087
159,Shi’ite Militias Join Iraq’s Mosul Attack,FAKE,fear,0.8041036128997803
160,‘Super PAC’ Gets Early Start on Pushing for a 2016 Clinton Campaign,REAL,neutral,0.7763860821723938
161,Christianity under attack: US must do more to promote religious freedom,REAL,fear,0.566665768623352
162,U.S. Taxpayers Pay AT&T Millions of Dollars a Year For the Privilege of Spying on Them,FAKE,neutral,0.3313773572444916
163,VIDEO: Journalist Shot by Militarized Police at Standing Rock While Conducting an Interview,FAKE,fear,0.7876327633857727
164,"Buffett: If I Ran Fed, I Would Not Raise Rates Significantly",REAL,neutral,0.4783799648284912
165,Are Tensions With Russia Even Real?,FAKE,anger,0.35372158885002136
166,Iran agrees to nuclear restrictions in framework deal with world powers,REAL,neutral,0.6375004053115845
167,Comment on This Is What Constipation Does To Your Body by THIS IS WHAT CONSTIPATION DOES TO YOUR BODY | TheHealthology,FAKE,neutral,0.8029413223266602
168,Fifteen Quotes Proving False Flag Terrorism & the Existence of a ‘Shadow Government’,FAKE,fear,0.7854044437408447
169,"Bernie Sanders’s vast universe of donors, mapped",REAL,neutral,0.8472565412521362
170,"Former Ambassador Andrew Young calls for end to water fluoridation, “Civil Rights Issue”",FAKE,anger,0.33737167716026306
171,Trump's New Ad Portraying 'Every Mother's Worst Nightmare' is Nothing Short of Chilling,FAKE,fear,0.6537642478942871
172,Undercover Video Exposes Obama’s Plan to Make American “Gun Laws” More Like Britain – TruthFeed,FAKE,disgust,0.4522055685520172
173,So That Happened: Did Obama Forget That The GOP Runs Congress?,REAL,surprise,0.5301362872123718
174,"Syrian War Report – November 2, 2016: ISIS and Al-Nusra Attempt to Cut Off Govt Supply Line to Aleppo",FAKE,fear,0.533321738243103
175,Should Christians Celebrate Halloween?,FAKE,joy,0.8684207201004028
176,Sunday in Charleston: Worship at Emanuel AME,REAL,joy,0.8464555144309998
177,Only Making Matters Worse in Syria,FAKE,disgust,0.7061076760292053
178,"FACT CHECK: Hillary Clinton's Speech To The Democratic Convention, Annotated",REAL,disgust,0.3553439676761627
179,BUSTED: Clinton Foundation Directly Tied To Plot To Steal Election,FAKE,anger,0.7831893563270569
180,Connecticut Becomes First State To Boycott Indiana Over LGBT Discrimination Law,REAL,anger,0.6736301779747009
181,Scott Walker Confronts Doubts About His Grasp of Foreign Policy,REAL,anger,0.5227353572845459
182,Iran carries out new ballistic missile test,REAL,fear,0.38291284441947937
183,Assange: Donald Trump Won’t Be Allowed to Win – Clinton & ISIS Funded by Same Interests,FAKE,neutral,0.5536550879478455
184,Why Joe Biden can't get no respect,REAL,anger,0.8285325765609741
185,"Come on, Paul Ryan must be running in 2016, right? Right?",REAL,neutral,0.5675495862960815
186,Why Bernie Sanders needs to start winning big states — big,REAL,neutral,0.7174683809280396
187,Leaked: What’s in Obama’s trade deal,REAL,neutral,0.8060015439987183
188,"Michael Moore admits no women ever melted the ice caps, bombs American history",FAKE,neutral,0.7427613735198975
189,Someone Isn't Telling The Truth About Freddie Gray's Death,REAL,disgust,0.29016250371932983
190,Prison employee pleaded not guilty to aiding escape of two murderers,REAL,sadness,0.4927186965942383
191,Culchie Tries To Explain Rules Of 25 One More Time,FAKE,neutral,0.8836342096328735
192,Election Day: No Legal Pot In Ohio; Democrats Lose In The South,REAL,sadness,0.6665903925895691
193,President Trump: A colossal failure for democracy and our terrifying new reality,REAL,fear,0.9898480772972107
194,Who had to go :-),FAKE,surprise,0.39878326654434204
195,Raqqa/Mosul: Politicians Fiddle As Middle East Burns,FAKE,neutral,0.29539674520492554
